//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 12-8-2022
//--  Time: 16:18
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: -40.0(C), 	Resistance 1: 45313 Ohms 
//--    Temperature2: 30(C), 	Resistance 2: 1707 Ohms 
//--    Temperature3: 100(C), 	Resistance 3: 187 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
298	111.29	1113 	1.455
299	111.04	1110 	1.460
300	110.80	1108 	1.465
301	110.56	1106 	1.470
302	110.32	1103 	1.475
303	110.08	1101 	1.479
304	109.84	1098 	1.484
305	109.60	1096 	1.489
306	109.36	1094 	1.494
307	109.12	1091 	1.499
308	108.89	1089 	1.504
309	108.65	1086 	1.509
310	108.41	1084 	1.514
311	108.18	1082 	1.519
312	107.94	1079 	1.523
313	107.71	1077 	1.528
314	107.47	1075 	1.533
315	107.24	1072 	1.538
316	107.01	1070 	1.543
317	106.78	1068 	1.548
318	106.55	1065 	1.553
319	106.31	1063 	1.558
320	106.08	1061 	1.563
321	105.85	1059 	1.567
322	105.63	1056 	1.572
323	105.40	1054 	1.577
324	105.17	1052 	1.582
325	104.94	1049 	1.587
326	104.71	1047 	1.592
327	104.49	1045 	1.597
328	104.26	1043 	1.602
329	104.04	1040 	1.606
330	103.81	1038 	1.611
331	103.59	1036 	1.616
332	103.36	1034 	1.621
333	103.14	1031 	1.626
334	102.92	1029 	1.631
335	102.69	1027 	1.636
336	102.47	1025 	1.641
337	102.25	1023 	1.646
338	102.03	1020 	1.650
339	101.81	1018 	1.655
340	101.59	1016 	1.660
341	101.37	1014 	1.665
342	101.15	1011 	1.670
343	100.93	1009 	1.675
344	100.71	1007 	1.680
345	100.50	1005 	1.685
346	100.28	1003 	1.689
347	100.06	1001 	1.694
348	99.84	998 	1.699
349	99.63	996 	1.704
350	99.41	994 	1.709
351	99.20	992 	1.714
352	98.98	990 	1.719
353	98.77	988 	1.724
354	98.56	986 	1.729
355	98.34	983 	1.733
356	98.13	981 	1.738
357	97.92	979 	1.743
358	97.71	977 	1.748
359	97.49	975 	1.753
360	97.28	973 	1.758
361	97.07	971 	1.763
362	96.86	969 	1.768
363	96.65	967 	1.772
364	96.44	964 	1.777
365	96.23	962 	1.782
366	96.02	960 	1.787
367	95.81	958 	1.792
368	95.61	956 	1.797
369	95.40	954 	1.802
370	95.19	952 	1.807
371	94.98	950 	1.812
372	94.78	948 	1.816
373	94.57	946 	1.821
374	94.37	944 	1.826
375	94.16	942 	1.831
376	93.95	940 	1.836
377	93.75	938 	1.841
378	93.55	935 	1.846
379	93.34	933 	1.851
380	93.14	931 	1.855
381	92.93	929 	1.860
382	92.73	927 	1.865
383	92.53	925 	1.870
384	92.33	923 	1.875
385	92.12	921 	1.880
386	91.92	919 	1.885
387	91.72	917 	1.890
388	91.52	915 	1.895
389	91.32	913 	1.899
390	91.12	911 	1.904
391	90.92	909 	1.909
392	90.72	907 	1.914
393	90.52	905 	1.919
394	90.32	903 	1.924
395	90.12	901 	1.929
396	89.92	899 	1.934
397	89.73	897 	1.938
398	89.53	895 	1.943
399	89.33	893 	1.948
400	89.13	891 	1.953
401	88.94	889 	1.958
402	88.74	887 	1.963
403	88.54	885 	1.968
404	88.35	883 	1.973
405	88.15	882 	1.978
406	87.95	880 	1.982
407	87.76	878 	1.987
408	87.56	876 	1.992
409	87.37	874 	1.997
410	87.18	872 	2.002
411	86.98	870 	2.007
412	86.79	868 	2.012
413	86.59	866 	2.017
414	86.40	864 	2.021
415	86.21	862 	2.026
416	86.01	860 	2.031
417	85.82	858 	2.036
418	85.63	856 	2.041
419	85.44	854 	2.046
420	85.25	852 	2.051
421	85.05	851 	2.056
422	84.86	849 	2.061
423	84.67	847 	2.065
424	84.48	845 	2.070
425	84.29	843 	2.075
426	84.10	841 	2.080
427	83.91	839 	2.085
428	83.72	837 	2.090
429	83.53	835 	2.095
430	83.34	833 	2.100
431	83.15	832 	2.104
432	82.96	830 	2.109
433	82.77	828 	2.114
434	82.59	826 	2.119
435	82.40	824 	2.124
436	82.21	822 	2.129
437	82.02	820 	2.134
438	81.83	818 	2.139
439	81.65	816 	2.144
440	81.46	815 	2.148
441	81.27	813 	2.153
442	81.09	811 	2.158
443	80.90	809 	2.163
444	80.71	807 	2.168
445	80.53	805 	2.173
446	80.34	803 	2.178
447	80.16	802 	2.183
448	79.97	800 	2.188
449	79.79	798 	2.192
450	79.60	796 	2.197
451	79.42	794 	2.202
452	79.23	792 	2.207
453	79.05	790 	2.212
454	78.86	789 	2.217
455	78.68	787 	2.222
456	78.49	785 	2.227
457	78.31	783 	2.231
458	78.13	781 	2.236
459	77.94	779 	2.241
460	77.76	778 	2.246
461	77.58	776 	2.251
462	77.39	774 	2.256
463	77.21	772 	2.261
464	77.03	770 	2.266
465	76.85	768 	2.271
466	76.66	767 	2.275
467	76.48	765 	2.280
468	76.30	763 	2.285
469	76.12	761 	2.290
470	75.94	759 	2.295
471	75.76	758 	2.300
472	75.57	756 	2.305
473	75.39	754 	2.310
474	75.21	752 	2.314
475	75.03	750 	2.319
476	74.85	749 	2.324
477	74.67	747 	2.329
478	74.49	745 	2.334
479	74.31	743 	2.339
480	74.13	741 	2.344
481	73.95	740 	2.349
482	73.77	738 	2.354
483	73.59	736 	2.358
484	73.41	734 	2.363
485	73.23	732 	2.368
486	73.05	731 	2.373
487	72.87	729 	2.378
488	72.70	727 	2.383
489	72.52	725 	2.388
490	72.34	723 	2.393
491	72.16	722 	2.397
492	71.98	720 	2.402
493	71.80	718 	2.407
494	71.63	716 	2.412
495	71.45	714 	2.417
496	71.27	713 	2.422
497	71.09	711 	2.427
498	70.91	709 	2.432
499	70.74	707 	2.437
500	70.56	706 	2.441
501	70.38	704 	2.446
502	70.21	702 	2.451
503	70.03	700 	2.456
504	69.85	699 	2.461
505	69.67	697 	2.466
506	69.50	695 	2.471
507	69.32	693 	2.476
508	69.15	691 	2.480
509	68.97	690 	2.485
510	68.79	688 	2.490
511	68.62	686 	2.495
512	68.44	684 	2.500
513	68.26	683 	2.505
514	68.09	681 	2.510
515	67.91	679 	2.515
516	67.74	677 	2.520
517	67.56	676 	2.524
518	67.39	674 	2.529
519	67.21	672 	2.534
520	67.04	670 	2.539
521	66.86	669 	2.544
522	66.68	667 	2.549
523	66.51	665 	2.554
524	66.33	663 	2.559
525	66.16	662 	2.563
526	65.98	660 	2.568
527	65.81	658 	2.573
528	65.64	656 	2.578
529	65.46	655 	2.583
530	65.29	653 	2.588
531	65.11	651 	2.593
532	64.94	649 	2.598
533	64.76	648 	2.603
534	64.59	646 	2.607
535	64.41	644 	2.612
536	64.24	642 	2.617
537	64.07	641 	2.622
538	63.89	639 	2.627
539	63.72	637 	2.632
540	63.54	635 	2.637
541	63.37	634 	2.642
542	63.20	632 	2.646
543	63.02	630 	2.651
544	62.85	628 	2.656
545	62.68	627 	2.661
546	62.50	625 	2.666
547	62.33	623 	2.671
548	62.16	622 	2.676
549	61.98	620 	2.681
550	61.81	618 	2.686
551	61.64	616 	2.690
552	61.46	615 	2.695
553	61.29	613 	2.700
554	61.12	611 	2.705
555	60.94	609 	2.710
556	60.77	608 	2.715
557	60.60	606 	2.720
558	60.42	604 	2.725
559	60.25	603 	2.729
560	60.08	601 	2.734
561	59.90	599 	2.739
562	59.73	597 	2.744
563	59.56	596 	2.749
564	59.39	594 	2.754
565	59.21	592 	2.759
566	59.04	590 	2.764
567	58.87	589 	2.769
568	58.70	587 	2.773
569	58.52	585 	2.778
570	58.35	583 	2.783
571	58.18	582 	2.788
572	58.00	580 	2.793
573	57.83	578 	2.798
574	57.66	577 	2.803
575	57.49	575 	2.808
